BOAMP_AVIS_NUM,D_14_01_Conditionparticipationsystmequalif_Conditions,D_14_02_Conditionparticipationsystmequalif_Methodeverification
15-134004,Voir le règlement de consultation téléchargeable sur le profil acheteur ou disponible sur simple demande adressée à la Mairie de Boëseghem,
15-136641,"la procédure de sélection se déroulera en deux phases successives :-une phase au cours de laquelle trois candidats seront sélectionnés pour présenter une offre ;-une phase au cours de laquelle les trois propositions seront évaluées et classées. La proposition arrivée en première position se verra attribuer le marché.Les candidatures seront sélectionnées sur la base du dossier technique : -présentation des travaux réalisés, dans le domaine culturel, notamment dans des campagnes de type national-Références des trois dernières années ; -lettre d'intention de deux pages maximum explicitant sa compréhension du projet du visuel et les principes qui guideront sa création-Présentation de travaux réalisés sur des outils de communication variés (affichage, réseaux sociaux, matériel de communication type kakémono, bâche, publicité en milieu urbain, publicité dans médias print)Les trois candidats ayant été jugés les plus à-mêmes de répondre aux attentes de l'Inrap seront destinataires d'une lettre les invitant à proposer une offre.",
