BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
13-207371,False,False,False,False,True,False,
14-125813,False,False,False,False,True,False,
14-178318,False,False,True,False,False,False,
14-181668,False,False,False,False,False,False,EPCI
14-47159,False,False,False,False,True,False,
15-100085,False,True,False,False,False,False,
15-100157,False,False,True,False,False,False,
15-105853,False,True,False,False,False,False,
15-107107,True,False,False,False,False,False,
15-109223,True,False,False,False,False,False,
15-113483,False,False,False,False,False,False,Collectivité térritoriale
15-114350,False,False,False,False,True,False,
15-114404,False,False,True,False,False,False,
15-114489,False,False,True,False,False,False,
15-115697,False,False,True,False,False,False,
15-116581,False,False,False,False,False,False,Organisme de droit privé de la MSA
15-135737,False,False,False,False,False,False,
15-120248,False,False,False,False,False,False,Etablissement Public Territorial - Etablissement Public de Coopération Intercommunale
15-121910,False,False,True,False,False,False,
15-123856,False,False,False,False,True,False,
15-124041,False,False,True,False,False,False,
15-124241,False,False,False,False,False,False,Etablissement public territorial - Etablissement Public de Coopération Intercommunale.
15-125032,False,False,False,True,False,False,
15-127055,False,False,True,False,False,False,
15-128136,False,False,False,False,True,False,
15-128330,False,False,False,False,False,False,E.P.C.I.
15-128461,False,False,False,False,True,False,
15-128580,False,False,True,False,False,False,
15-128712,False,False,True,False,False,False,
15-128795,False,False,True,False,False,False,
15-129796,True,False,False,False,False,False,
15-130085,False,False,False,False,True,False,
15-130159,False,False,True,False,False,False,
15-133525,False,False,True,False,False,False,
15-135185,False,False,True,False,False,False,
15-135431,False,False,True,False,False,False,
15-135925,False,False,False,False,False,False,Etablissement public local
15-148424,False,False,True,False,False,False,
15-136220,False,False,False,False,False,False,
15-137323,False,False,False,False,False,False,Société d'Economie Mixte
15-138122,False,False,False,False,False,False,
15-138178,False,False,False,False,False,False,
15-138453,False,False,False,False,False,False,Société Publique Locale d'Aménagement
15-139048,False,False,False,False,True,False,
15-139174,False,False,False,False,True,False,
15-139196,False,False,False,False,False,False,
15-139915,False,False,True,False,False,False,
15-140211,False,False,True,False,False,False,
15-140387,False,False,True,False,False,False,
15-141415,False,False,True,False,False,False,
15-141429,False,False,True,False,False,False,
15-141577,False,False,False,True,False,False,
15-143237,False,False,True,False,False,False,
15-143490,False,False,False,False,False,False,
15-143767,False,False,False,False,True,False,
15-144165,False,False,True,False,False,False,
15-144988,False,False,False,False,False,False,Etablissement public territorial - Etablissement Public de Coopération Intercommunale.
15-145001,False,False,True,False,False,False,
15-145074,False,False,False,False,True,False,
15-146038,False,False,True,False,False,False,
15-146070,False,False,True,False,False,False,
15-146083,False,False,False,False,True,False,
15-146205,False,False,False,False,False,False,Société déconomie mixte
15-146413,False,False,True,False,False,False,
15-146587,False,False,True,False,False,False,
15-146791,False,False,True,False,False,False,
15-146796,False,False,True,False,False,False,
15-163123,False,False,False,False,True,False,
15-147062,False,False,True,False,False,False,
15-147503,False,False,True,False,False,False,
15-147783,False,False,False,False,True,False,
15-147854,False,False,False,False,True,False,
15-147869,False,False,False,False,True,False,
15-147874,False,False,False,False,True,False,
15-147927,False,False,False,False,True,False,
15-148006,False,False,False,False,True,False,
15-148015,False,False,False,False,True,False,
15-148220,False,False,False,False,True,False,
15-148244,False,False,False,False,True,False,
15-148498,False,False,False,True,False,False,
15-148692,False,False,True,False,False,False,
15-148701,False,False,True,False,False,False,
15-149373,True,False,False,False,False,False,
15-149872,False,False,True,False,False,False,
15-150071,False,False,False,False,False,False,Etablissement public de santé
15-150417,False,False,False,False,True,False,
15-150959,False,False,True,False,False,False,
15-151046,False,False,True,False,False,False,
15-151187,False,False,True,False,False,False,
15-151234,False,False,False,False,True,False,
15-151906,False,False,False,False,False,False,Collectivité territorriale
15-152003,False,False,True,False,False,False,
15-152009,True,False,False,False,False,False,
15-152090,False,False,True,False,False,False,
15-152465,True,False,False,False,False,False,
15-152619,False,False,False,False,True,False,
15-152646,False,False,False,False,False,False,Etablissement public territorial - Etablissement Public de Coopération Intercommunale.
15-152682,True,False,False,False,False,False,
15-152911,False,False,False,False,True,False,
15-152997,False,False,False,False,True,False,
15-153153,False,False,False,False,False,False,collectivité territoriale
15-153225,False,False,True,False,False,False,
15-153299,False,False,True,False,False,False,
15-153562,False,False,True,False,False,False,
15-153563,False,False,True,False,False,False,
15-153605,False,False,True,False,False,False,
15-153756,False,False,False,False,True,False,
15-153864,True,False,False,False,False,False,
15-154001,False,False,False,False,False,False,Société publique locale
15-154020,False,False,False,False,False,False,Etablissement Public de Coopération Intercommunale
15-156007,False,False,True,False,False,False,
15-154980,False,False,False,False,True,False,
15-155006,False,False,True,False,False,False,
15-155172,False,False,True,False,False,False,
15-155601,False,False,True,False,False,False,
15-155632,False,False,False,False,True,False,
15-155655,False,False,True,False,False,False,
15-155767,False,False,True,False,False,False,
15-156000,False,False,False,True,False,False,
15-156009,False,False,True,False,False,False,
15-156095,False,False,True,False,False,False,
15-156321,False,False,True,False,False,False,
15-156377,False,False,True,False,False,False,
15-156574,False,False,False,False,False,False,
15-156872,False,False,False,True,False,False,
15-157018,False,False,False,False,True,False,
15-157388,False,False,True,False,False,False,
15-157482,False,False,False,False,False,False,collectivite territoriale
15-157484,True,False,False,False,False,False,
15-157819,False,False,True,False,False,False,
15-157822,False,False,True,False,False,False,
15-157863,False,False,False,False,False,False,
15-157943,False,False,True,False,False,False,
15-158174,False,False,False,False,True,False,
15-158416,False,False,False,False,True,False,
15-158587,False,False,True,False,False,False,
15-158734,False,False,True,False,False,False,
15-158773,False,False,False,False,True,False,
15-158871,False,False,True,False,False,False,
15-159055,False,False,True,False,False,False,
15-159099,False,False,True,False,False,False,
15-159378,False,False,False,False,True,False,
15-159541,False,False,False,False,False,False,
15-159563,False,False,True,False,False,False,
15-159647,False,False,True,False,False,False,
15-159713,False,False,True,False,False,False,
15-159718,False,False,True,False,False,False,
15-159729,False,False,True,False,False,False,
15-162593,True,False,False,False,False,False,
19-131539,False,False,False,False,False,False,Collectivité territoriale
15-159896,False,False,False,False,False,False,Etablissement Public Territorial : Etat Public de Coopération Intercommunale 
15-159972,False,False,False,False,False,False,Etablissement Public de Coopération Intercommunal (EPCI).
15-160046,False,False,False,False,False,False,EPA
15-160061,True,False,False,False,False,False,
15-160068,False,False,True,False,False,False,
15-160173,False,False,False,False,False,False,
15-160250,False,False,True,False,False,False,
15-160298,False,False,False,False,False,False,Collectivité territoriale
15-160321,False,False,True,False,False,False,
15-160339,False,False,True,False,False,False,
15-160430,True,False,False,False,False,False,
15-160613,False,False,True,False,False,False,
15-160631,False,False,True,False,False,False,
15-160666,False,False,False,False,False,False,
15-160748,False,False,False,False,False,False,Mairie de sada
15-160974,False,False,True,False,False,False,
15-161125,False,False,True,False,False,False,
15-161146,False,False,False,False,False,False,Métropole
15-161181,False,False,False,False,False,False,
15-161184,False,False,False,False,False,False,
15-161239,False,False,True,False,False,False,
15-161439,False,False,True,False,False,False,
15-161602,False,False,True,False,False,False,
15-161749,False,False,False,False,True,False,
15-161977,False,False,True,False,False,False,
15-162100,False,False,False,False,False,False,
15-162112,False,False,False,False,False,False,
15-162166,False,False,True,False,False,False,
15-142444,False,False,False,False,True,False,
15-162277,False,False,False,False,True,False,
15-162296,False,False,False,False,True,False,
15-162305,True,False,False,False,False,False,
15-162474,False,False,False,False,True,False,
15-162487,False,False,False,False,False,False,
15-162493,False,False,False,False,False,False,
15-162499,False,False,False,False,False,False,Etablissement public de santé
15-162576,False,False,True,False,False,False,
15-162585,False,False,False,False,False,False,Etablissement Public de Santé
15-162847,False,False,True,False,False,False,
15-146851,False,False,True,False,False,False,
15-163027,False,False,True,False,False,False,
15-163032,False,False,False,False,True,False,
15-163058,True,False,False,False,False,False,
15-163081,False,False,True,False,False,False,
15-163112,False,False,False,False,False,False,
15-163383,False,False,False,False,False,False,
15-163415,False,False,True,False,False,False,
15-163437,False,False,False,False,False,False,
15-163622,False,False,True,False,False,False,
15-142093,False,False,False,False,True,False,
15-163700,False,True,False,False,False,False,
15-163725,False,False,True,False,False,False,
15-163773,False,False,True,False,False,False,
15-163856,True,False,False,False,False,False,
15-163875,True,False,False,False,False,False,
15-163933,False,False,False,False,False,False,
15-164005,True,False,False,False,False,False,
15-164022,False,False,False,True,False,False,
15-164048,False,False,True,False,False,False,
15-164154,False,False,True,False,False,False,
15-164215,False,False,False,True,False,False,
15-140223,False,False,False,False,False,False,
15-164484,False,False,True,False,False,False,
15-164495,False,False,True,False,False,False,
15-164515,False,False,False,False,False,False,Etablissement public de santé
15-164546,False,False,True,False,False,False,
15-164554,False,False,True,False,False,False,
15-164570,False,False,False,False,True,False,
15-107620,False,False,False,False,True,False,
15-164764,False,False,False,False,True,False,
15-164768,False,False,False,False,False,False,Collectivité territoriale
15-164777,False,False,False,False,False,False,Collectivité territoriale
15-164796,False,False,False,False,True,False,
15-164803,False,False,True,False,False,False,
15-164839,False,False,True,False,False,False,
15-164876,False,False,True,False,False,False,
15-164905,False,False,True,False,False,False,
15-164944,False,False,True,False,False,False,
15-164998,False,False,True,False,False,False,
15-165020,False,False,True,False,False,False,
15-165048,False,False,False,False,False,False,
15-165066,False,False,False,False,True,False,
15-165088,False,False,True,False,False,False,
15-149792,False,False,False,False,False,False,
15-165148,False,False,False,False,False,False,collectivité
15-165152,False,False,True,False,False,False,
15-165175,True,False,False,False,False,False,
15-165233,False,False,True,False,False,False,
15-165301,False,False,False,False,False,False,Etablissement Public Territorial - Etablissement Public de Coopération Intercommunale
15-165427,False,False,False,False,False,False,Etablissement Public de Santé
15-165460,False,False,True,False,False,False,
15-165488,False,False,False,False,True,False,
15-165586,True,False,False,False,False,False,
15-165597,False,False,False,False,True,False,
15-165598,False,False,False,False,True,False,
15-165612,False,False,True,False,False,False,
15-165614,True,False,False,False,False,False,
15-165635,True,False,False,False,False,False,
15-165647,False,False,False,False,False,False,Groupement de collectivités territoriales
15-165648,False,False,False,False,False,False,Etablissement public Territorial
15-165659,True,False,False,False,False,False,
15-165683,False,False,False,False,True,False,
15-165686,False,False,True,False,False,False,
15-165708,False,False,True,False,False,False,
15-165722,False,False,True,False,False,False,
15-165771,False,False,False,False,True,False,
15-165778,False,False,False,False,False,False,Assemblée parlementaire
15-165794,False,False,False,False,False,False,collectivité territoriale
15-165808,False,False,False,False,False,False,
15-165902,False,False,False,False,False,False,
15-165925,False,False,False,False,True,False,
15-165931,False,False,True,False,False,False,
15-166020,False,False,False,False,False,False,"Établissement public à caractère scientifique, culturel et professionnel."
15-166022,False,False,False,False,True,False,
15-166028,False,False,False,False,False,False,Société Publique Locale
15-166029,False,False,True,False,False,False,
15-166030,False,False,True,False,False,False,
15-166048,False,False,False,False,False,False,
15-166063,False,False,True,False,False,False,
15-148411,False,False,False,False,False,False,EPCI (établissement public de coopération intercommunale)
15-166081,False,False,False,False,True,False,
15-166082,True,False,False,False,False,False,
15-166083,False,False,True,False,False,False,
15-166106,False,False,False,False,True,False,
15-149108,False,False,True,False,False,False,
15-166123,False,False,True,False,False,False,
15-166131,False,False,False,False,True,False,
15-166137,False,False,False,False,True,False,
15-166140,False,False,False,False,True,False,
15-166144,False,False,False,False,True,False,
15-166148,False,False,False,False,True,False,
15-166162,False,False,False,False,True,False,
15-166164,False,False,False,False,True,False,
15-166165,False,False,False,False,False,False,université
15-166168,False,False,False,False,True,False,
15-166187,False,False,True,False,False,False,
15-166188,False,False,False,False,False,False,
15-166203,False,False,True,False,False,False,
15-166205,False,True,False,False,False,False,
15-166207,False,False,False,False,True,False,
15-166209,False,False,False,False,False,False,Université
15-166223,False,False,True,False,False,False,
15-166230,False,False,False,False,True,False,
15-166231,False,False,False,False,False,False,
15-166239,False,False,True,False,False,False,
15-166243,False,False,True,False,False,False,
15-166250,False,False,True,False,False,False,
15-166261,True,False,False,False,False,False,
15-166270,False,False,False,False,True,False,
15-166276,True,False,False,False,False,False,
15-166280,False,False,True,False,False,False,
15-166289,False,False,True,False,False,False,
15-166294,False,False,False,False,True,False,
15-166295,True,False,False,False,False,False,
15-166303,False,False,False,False,True,False,
15-166308,False,False,False,False,False,False,SEM
15-166313,False,False,False,True,False,False,
15-166315,False,True,False,False,False,False,
15-166326,False,False,False,False,True,False,
15-166329,False,False,False,False,True,False,
15-166338,False,False,False,False,False,False,
15-166342,False,False,False,True,False,False,
15-166344,False,False,True,False,False,False,
15-166346,False,False,True,False,False,False,
15-166347,False,False,True,False,False,False,
15-166366,False,False,True,False,False,False,
15-166372,False,False,True,False,False,False,
15-166378,False,False,False,False,True,False,
15-166381,False,False,False,False,False,False,
15-166390,False,False,True,False,False,False,
15-166397,True,False,False,False,False,False,
15-166405,False,False,False,False,False,False,
15-166407,False,False,False,False,False,False,SEM
15-166410,True,False,False,False,False,False,
15-166413,False,False,False,False,False,False,
15-149510,False,False,True,False,False,False,
15-166431,False,False,False,False,True,False,
15-166435,False,False,False,False,False,False,
15-166437,False,False,False,False,True,False,
15-166446,False,False,True,False,False,False,
15-166447,False,False,False,False,True,False,
15-166452,False,False,False,False,True,False,
15-166458,False,False,False,False,True,False,
15-166470,False,False,False,False,False,False,OPH
15-166473,False,False,True,False,False,False,
15-166474,False,False,True,False,False,False,
15-166479,False,False,False,False,True,False,
15-166486,False,False,False,False,False,False,
15-166489,False,False,False,False,True,False,
15-166503,False,False,False,False,False,False,
15-166506,False,False,True,False,False,False,
15-166509,False,False,True,False,False,False,
15-166510,False,False,True,False,False,False,
15-166519,False,False,True,False,False,False,
15-166527,False,False,False,False,True,False,
15-166533,False,False,False,False,False,False,
15-166537,False,False,False,False,True,False,
15-166546,False,False,True,False,False,False,
15-166550,False,False,True,False,False,False,
15-166551,False,False,True,False,False,False,
15-166556,False,False,True,False,False,False,
15-166559,False,False,True,False,False,False,
15-149267,False,False,True,False,False,False,
15-166563,False,False,True,False,False,False,
15-166569,False,False,True,False,False,False,
15-166570,False,False,True,False,False,False,
15-166571,False,False,True,False,False,False,
15-166581,False,False,True,False,False,False,
15-166583,False,False,True,False,False,False,
15-166585,False,False,True,False,False,False,
15-166586,False,False,True,False,False,False,
15-166591,False,False,False,False,True,False,
15-166593,False,False,False,False,False,False,
15-166596,False,False,True,False,False,False,
15-166598,False,False,True,False,False,False,
15-166599,False,False,False,False,False,False,
15-166602,False,False,True,False,False,False,
