BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
12-107585,False,False,True,False,False,False,
13-60453,False,False,False,False,True,False,
13-90167,False,False,True,False,False,False,
14-107172,False,False,True,False,False,False,
14-29603,False,False,False,False,False,False,Etablissement public de coopération intercommunale
15-103222,False,False,False,False,True,False,
15-103226,False,False,False,False,True,False,
15-104039,False,False,False,False,False,False,Etablissement public de coopération intercommunale
15-105710,False,False,False,False,False,False,
15-106758,False,False,False,False,True,False,
15-114863,False,False,True,False,False,False,
15-115856,False,False,False,False,False,False,collectivité territoriale
15-116265,False,False,True,False,False,False,
15-119465,False,False,False,False,True,False,
15-121339,True,False,False,False,False,False,
16-11289,False,False,False,False,False,False,
15-129346,False,False,True,False,False,False,
15-131402,False,False,True,False,False,False,
15-133751,False,False,False,False,False,False,Etablissement public territorial
15-134218,False,False,True,False,False,False,
15-135546,False,False,False,False,False,False,
15-136886,False,False,False,False,True,False,
15-137950,False,False,True,False,False,False,
15-138516,False,False,False,False,True,False,
15-138537,False,False,False,False,True,False,
15-141188,False,False,True,False,False,False,
15-141211,False,False,False,False,True,False,
15-142341,False,False,False,False,False,False,
15-142668,False,False,False,False,True,False,
15-144432,False,False,False,False,True,False,
15-145342,False,False,True,False,False,False,
15-146073,False,False,True,False,False,False,
16-2555,False,False,True,False,False,False,
15-146728,False,False,False,False,True,False,
15-147508,False,False,True,False,False,False,
15-147689,False,False,False,False,False,False,
15-147745,False,False,True,False,False,False,
15-147799,False,False,False,False,True,False,
15-147826,False,False,False,False,True,False,
15-147852,False,False,False,False,True,False,
15-148237,True,False,False,False,False,False,
15-149678,False,False,True,False,False,False,
15-152221,False,False,False,False,False,False,Etablissement public de coopération intercommunale
15-152541,False,False,True,False,False,False,
15-152720,False,False,False,False,False,False,Etablissement Public de Coopération Intercommunale
15-153028,False,False,True,False,False,False,
15-153327,True,False,False,False,False,False,
15-153741,False,False,True,False,False,False,
15-153981,False,False,True,False,False,False,
15-154000,False,False,False,False,True,False,
15-154045,False,False,False,False,True,False,
16-9516,True,False,False,False,False,False,
15-154603,False,False,True,False,False,False,
15-154702,False,False,True,False,False,False,
15-154724,True,False,False,False,False,False,
15-155087,False,False,True,False,False,False,
15-155489,False,False,True,False,False,False,
15-155963,False,False,True,False,False,False,
15-155998,False,False,True,False,False,False,
15-156247,False,False,False,False,True,False,
15-156572,False,False,False,False,True,False,
15-156675,False,False,True,False,False,False,
15-157429,False,False,False,False,True,False,
15-158005,True,False,False,False,False,False,
15-159013,False,False,False,False,False,False,collectivité territoriale
15-159292,False,False,True,False,False,False,
15-159935,False,False,True,False,False,False,
15-160078,False,False,True,False,False,False,
15-160323,True,False,False,False,False,False,
15-160877,False,False,True,False,False,False,
15-160909,False,False,True,False,False,False,
15-161243,False,False,True,False,False,False,
15-161496,True,False,False,False,False,False,
15-162242,False,False,False,False,True,False,
15-162245,False,False,False,False,True,False,
16-10462,False,False,False,False,False,False,
15-162984,False,False,False,False,True,False,
15-163377,False,False,False,False,False,False,collectivité territoriale
15-163515,False,False,True,False,False,False,
15-163668,True,False,False,False,False,False,
15-163876,False,False,True,False,False,False,
15-163897,False,False,True,False,False,False,
15-164297,False,False,False,True,False,False,
15-164656,False,False,True,False,False,False,
15-164969,False,False,True,False,False,False,
15-165206,False,False,True,False,False,False,
15-165208,False,False,True,False,False,False,
15-16554,True,False,False,False,False,False,
15-165704,False,False,False,False,True,False,
15-166310,False,False,False,False,True,False,
15-166774,False,False,True,False,False,False,
15-166880,False,False,True,False,False,False,
15-166904,False,False,True,False,False,False,
15-166951,False,False,False,False,True,False,
15-166975,False,False,True,False,False,False,
15-167222,False,False,False,False,True,False,
15-167350,False,False,False,False,False,False,Office Public de l'Habitat
15-167364,False,False,False,False,False,False,Office Public de l'Habitat
15-167562,False,False,False,False,False,False,Office Public de l'Habitat
15-167746,False,False,True,False,False,False,
15-167938,False,False,True,False,False,False,
15-167940,False,False,True,False,False,False,
15-167941,False,False,True,False,False,False,
15-167984,False,False,False,False,False,False,Etablissement public communal
15-168140,False,False,True,False,False,False,
15-168395,True,False,False,False,False,False,
15-168464,False,False,False,False,True,False,
15-168734,False,False,True,False,False,False,
16-14308,False,False,False,False,True,False,
15-169080,True,False,False,False,False,False,
15-169137,False,False,True,False,False,False,
15-169324,True,False,False,False,False,False,
15-169474,False,False,False,False,False,False,
15-169727,False,False,False,False,False,False,
15-169842,False,False,False,False,False,False,
15-169860,False,False,False,False,False,False,
15-169903,False,False,False,False,True,False,
15-170200,False,False,False,False,False,False,SA HLM
15-170230,False,False,True,False,False,False,
15-170308,False,False,True,False,False,False,
15-170362,False,False,True,False,False,False,
15-170365,False,False,False,False,False,False,société publique locale
15-170643,False,False,True,False,False,False,
15-170708,False,False,True,False,False,False,
15-170883,False,False,False,False,False,False,
15-170912,False,False,True,False,False,False,
15-171210,True,False,False,False,False,False,
15-171290,False,False,False,False,False,False,
15-171379,False,False,True,False,False,False,
15-171524,False,False,True,False,False,False,
15-171620,True,False,False,False,False,False,
15-171736,False,False,True,False,False,False,
15-171896,False,False,False,False,True,False,
15-172090,False,False,True,False,False,False,
15-172121,False,False,True,False,False,False,
15-172526,False,False,False,False,True,False,
15-172629,False,False,True,False,False,False,
15-172658,False,False,True,False,False,False,
15-172850,False,False,False,False,False,False,Métropole
15-172859,False,False,False,False,False,False,Collectivité territoriale
15-173033,False,False,False,False,True,False,
15-173275,False,False,True,False,False,False,
15-173315,False,False,True,False,False,False,
15-173391,False,False,False,False,False,False,
15-173392,False,False,False,False,False,False,Établissement Public de Santé (EPS)
15-173477,False,False,True,False,False,False,
15-173559,True,False,False,False,False,False,
15-173874,False,False,True,False,False,False,
15-173962,False,False,True,False,False,False,
15-174020,False,False,False,False,False,False,
16-4262,False,False,False,False,False,False,
15-174128,False,False,False,False,True,False,
15-174160,False,False,True,False,False,False,
16-14634,False,False,False,False,True,False,
15-174192,False,False,False,False,False,False,
15-174206,False,False,False,False,False,False,collectivité territoriale.
16-18308,False,False,True,False,False,False,
15-174380,False,False,True,False,False,False,
15-174475,False,False,True,False,False,False,
15-174558,False,False,True,False,False,False,
15-174716,False,False,False,False,False,False,collectivité territoriale
15-174808,False,False,True,False,False,False,
15-174813,False,False,True,False,False,False,
15-175083,False,False,False,False,True,False,
15-175405,False,False,False,False,True,False,
15-175434,False,False,False,False,True,False,
15-175565,False,False,False,False,True,False,
15-175651,True,False,False,False,False,False,
15-175734,False,False,False,False,False,False,
15-175797,False,False,True,False,False,False,
15-175858,False,False,False,False,True,False,
15-175940,False,False,False,False,True,False,
